"IndustrySegment","Period","PeriodStartDate","RevenueBucket","Revenue"
"Coatings & Inks","Rest of the Records","2019-03-31","1m - 1.5m",1466000
"Textiles","Rest of the Records","2019-11-25","1m - 1.5m",1464000
"Specialty Materials","Rest of the Records","2017-10-28","4.5m - 5m",4581000
"Paper & Packaging","Rest of the Records","2020-04-09","2.5m - 3m",2597001
"Coatings & Inks","Rest of the Records","2017-12-10","3m - 3.5m",3289001
"Paper & Packaging","Rest of the Records","2017-12-22","2m - 2.5m",2465001
"Specialty Materials","Rest of the Records","2019-07-20","4m - 4.5m",4467001
"Textiles","Rest of the Records","2018-09-22","1.5m - 2m",1662001
"Coatings & Inks","Rest of the Records","2019-11-01","1m - 1.5m",1073000
"Specialty Materials","Rest of the Records","2017-05-04","3.5m - 4m",3589001
"Coatings & Inks","Rest of the Records","2021-01-05","2m - 2.5m",2489001
"Textiles","Rest of the Records","2019-11-19","3m - 3.5m",3262001
"Paper & Packaging","Rest of the Records","2019-05-23","1m - 1.5m",1104000
"Coatings & Inks","Rest of the Records","2018-07-08","3.5m - 4m",3628001
"Textiles","Rest of the Records","2021-01-07","4.5m - 5m",4697000
"Paper & Packaging","Rest of the Records","2020-03-19","4m - 4.5m",4016001
"Specialty Materials","Rest of the Records","2020-02-05","3.5m - 4m",3654001
"Textiles","Rest of the Records","2020-07-30","1.5m - 2m",1988001
"Coatings & Inks","Rest of the Records","2020-03-02","3.5m - 4m",3827001
"Paper & Packaging","Rest of the Records","2018-09-19","3m - 3.5m",3489001
"Specialty Materials","Rest of the Records","2021-02-08","2m - 2.5m",2161001
"Specialty Materials","Rest of the Records","2017-09-23","2.5m - 3m",2614001
"Paper & Packaging","Four Months Ago","2021-05-01","1.5m - 2m",1695001
"Textiles","Two Months Ago","2021-07-06","4m - 4.5m",4413001
"Coatings & Inks","Current Month","2021-09-28","2m - 2.5m",2155001
"Specialty Materials","Three Months Ago","2021-06-01","4.5m - 5m",4935000
"Coatings & Inks","One Month Ago","2021-08-25","2m - 2.5m",2207001
"Textiles","Rest of the Records","2020-09-20","1.5m - 2m",1961001
"Paper & Packaging","Rest of the Records","2019-01-19","3m - 3.5m",3489001
"Textiles","Rest of the Records","2017-07-09","3.5m - 4m",3722001
"Paper & Packaging","Rest of the Records","2021-04-25","3.5m - 4m",3934001
"Specialty Materials","Rest of the Records","2019-05-28","2.5m - 3m",2919001
"Coatings & Inks","Rest of the Records","2018-05-01","4m - 4.5m",4010001
"Textiles","Rest of the Records","2017-10-05","1m - 1.5m",1278000
"Specialty Materials","Rest of the Records","2018-06-14","1m - 1.5m",1316000
"Paper & Packaging","Rest of the Records","2020-06-11","2m - 2.5m",2056001
"Coatings & Inks","Rest of the Records","2019-03-16","2.5m - 3m",2920001
"Textiles","Rest of the Records","2019-01-21","2.5m - 3m",2525001
"Paper & Packaging","Rest of the Records","2019-04-23","4.5m - 5m",4662000
"Specialty Materials","Rest of the Records","2019-12-10","1.5m - 2m",1596001
"Coatings & Inks","Rest of the Records","2020-06-09","1.5m - 2m",1729001
"Coatings & Inks","Rest of the Records","2018-09-18","1m - 1.5m",1329000
"Textiles","Rest of the Records","2017-08-24","3.5m - 4m",3828001
"Paper & Packaging","Rest of the Records","2017-12-14","3m - 3.5m",3486001
"Specialty Materials","Rest of the Records","2017-07-12","4m - 4.5m",4343001
"Coatings & Inks","Rest of the Records","2021-03-14","2.5m - 3m",2998001
"Specialty Materials","Rest of the Records","2020-07-13","1m - 1.5m",1096000
"Paper & Packaging","Rest of the Records","2020-12-02","4m - 4.5m",4446001
"Textiles","Rest of the Records","2018-12-10","3m - 3.5m",3369001
"Textiles","Rest of the Records","2017-10-30","1.5m - 2m",1676001
"Paper & Packaging","Rest of the Records","2017-11-11","2m - 2.5m",2289001
"Coatings & Inks","Rest of the Records","2020-07-13","3m - 3.5m",3090001
"Specialty Materials","Rest of the Records","2021-01-16","2m - 2.5m",2225001
"Specialty Materials","Rest of the Records","2021-01-23","3.5m - 4m",3644001
"Coatings & Inks","Rest of the Records","2017-12-29","1.5m - 2m",1911001
"Textiles","Rest of the Records","2019-07-11","2.5m - 3m",2576001
"Paper & Packaging","Rest of the Records","2019-02-09","4.5m - 5m",4696000
"Paper & Packaging","Rest of the Records","2018-09-12","4m - 4.5m",4201001
"Textiles","Rest of the Records","2020-04-22","4.5m - 5m",4943000
"Coatings & Inks","Rest of the Records","2017-07-17","4.5m - 5m",4930000
"Specialty Materials","Rest of the Records","2019-07-19","3.5m - 4m",3663001
"Specialty Materials","Rest of the Records","2020-12-05","1m - 1.5m",1209000
"Coatings & Inks","Rest of the Records","2017-06-17","3.5m - 4m",3641001
"Textiles","Rest of the Records","2018-07-15","3m - 3.5m",3438001
"Paper & Packaging","Rest of the Records","2018-04-13","1.5m - 2m",1604001
"Coatings & Inks","Rest of the Records","2019-11-21","4.5m - 5m",4513000
"Specialty Materials","Rest of the Records","2017-08-26","2m - 2.5m",2027001
"Textiles","Rest of the Records","2020-05-12","2.5m - 3m",2736001
"Paper & Packaging","Rest of the Records","2018-09-17","3m - 3.5m",3207001
"Specialty Materials","Rest of the Records","2018-12-20","4.5m - 5m",4852000
"Coatings & Inks","Rest of the Records","2018-01-13","4m - 4.5m",4417001
"Paper & Packaging","Rest of the Records","2018-08-06","4m - 4.5m",4298001
"Textiles","Rest of the Records","2018-05-29","3.5m - 4m",3716001
"Coatings & Inks","Rest of the Records","2020-05-26","1m - 1.5m",1042000
"Textiles","Rest of the Records","2018-03-02","1.5m - 2m",1782001
"Specialty Materials","Rest of the Records","2018-02-18","1m - 1.5m",1430000
"Paper & Packaging","Rest of the Records","2020-06-30","3m - 3.5m",3405001
"Paper & Packaging","Rest of the Records","2020-08-13","3.5m - 4m",3996001
"Textiles","Rest of the Records","2021-04-19","4m - 4.5m",4196001
"Coatings & Inks","Rest of the Records","2020-02-24","2.5m - 3m",2727001
"Specialty Materials","Rest of the Records","2017-08-18","2.5m - 3m",2680001
"Paper & Packaging","Two Months Ago","2021-07-03","2.5m - 3m",2515001
"Specialty Materials","One Month Ago","2021-08-05","2m - 2.5m",2190001
"Textiles","Three Months Ago","2021-06-10","3m - 3.5m",3465001
"Coatings & Inks","Current Month","2021-09-19","2.5m - 3m",2581001
"Textiles","Rest of the Records","2020-02-17","1.5m - 2m",1661001
"Paper & Packaging","Rest of the Records","2019-10-02","3.5m - 4m",3708001
"Specialty Materials","Four Months Ago","2021-05-22","1m - 1.5m",1108000
"Coatings & Inks","Rest of the Records","2018-03-23","3.5m - 4m",3585001
"Coatings & Inks","Rest of the Records","2019-03-19","1.5m - 2m",1561001
"Textiles","Rest of the Records","2019-01-09","1m - 1.5m",1296000
"Specialty Materials","Rest of the Records","2019-03-17","4m - 4.5m",4378001
"Paper & Packaging","Rest of the Records","2020-08-19","2.5m - 3m",2925001
"Paper & Packaging","Rest of the Records","2020-08-23","3m - 3.5m",3195001
"Specialty Materials","Rest of the Records","2018-10-25","4.5m - 5m",4774000
"Coatings & Inks","Rest of the Records","2018-07-06","2m - 2.5m",2028001
"Textiles","Rest of the Records","2018-05-14","2m - 2.5m",2434001
"Paper & Packaging","Rest of the Records","2017-05-27","3.5m - 4m",3542001
"Specialty Materials","Rest of the Records","2019-09-03","1.5m - 2m",1759001
"Coatings & Inks","Rest of the Records","2019-08-18","3m - 3.5m",3155001
"Textiles","Rest of the Records","2018-06-15","2m - 2.5m",2106001
"Specialty Materials","Rest of the Records","2018-01-18","4.5m - 5m",4814000
"Coatings & Inks","Rest of the Records","2020-03-23","4.5m - 5m",4911000
"Textiles","Rest of the Records","2017-10-02","4m - 4.5m",4014001
"Paper & Packaging","Rest of the Records","2017-12-25","2m - 2.5m",2098001
"Textiles","Rest of the Records","2019-06-09","3m - 3.5m",3380001
"Paper & Packaging","Rest of the Records","2018-10-11","4.5m - 5m",4991000
"Specialty Materials","Rest of the Records","2020-07-22","2.5m - 3m",2777001
"Coatings & Inks","Rest of the Records","2018-03-14","2m - 2.5m",2072001
"Paper & Packaging","Rest of the Records","2017-06-29","1.5m - 2m",1810001
"Textiles","Rest of the Records","2018-01-24","3.5m - 4m",3711001
"Coatings & Inks","Rest of the Records","2020-07-13","4m - 4.5m",4022001
"Specialty Materials","Rest of the Records","2021-02-20","1m - 1.5m",1358000
"Specialty Materials","Rest of the Records","2019-03-24","1m - 1.5m",1453000
"Paper & Packaging","Rest of the Records","2017-08-13","3m - 3.5m",3290001
"Coatings & Inks","Rest of the Records","2017-06-10","3.5m - 4m",3763001
"Textiles","Rest of the Records","2018-09-15","3.5m - 4m",3772001
"Paper & Packaging","Rest of the Records","2020-09-20","4.5m - 5m",4575000
"Textiles","Rest of the Records","2018-04-06","2.5m - 3m",2550001
"Coatings & Inks","Rest of the Records","2019-07-13","2.5m - 3m",2916001
"Specialty Materials","Rest of the Records","2019-03-15","2m - 2.5m",2382001
"Textiles","Rest of the Records","2018-10-27","1.5m - 2m",1572001
"Paper & Packaging","Rest of the Records","2021-02-28","1m - 1.5m",1286000
"Coatings & Inks","Rest of the Records","2020-06-18","1.5m - 2m",1531001
"Specialty Materials","Rest of the Records","2017-07-09","4m - 4.5m",4462001
"Specialty Materials","Rest of the Records","2019-03-26","4m - 4.5m",4407001
"Textiles","Rest of the Records","2020-07-03","3m - 3.5m",3180001
"Paper & Packaging","Rest of the Records","2017-12-13","2.5m - 3m",2985001
"Coatings & Inks","Rest of the Records","2019-04-07","1m - 1.5m",1382000
"Textiles","Rest of the Records","2019-07-03","2m - 2.5m",2177001
"Coatings & Inks","Rest of the Records","2018-05-07","4m - 4.5m",4209001
"Specialty Materials","Rest of the Records","2021-01-24","3m - 3.5m",3092001
"Paper & Packaging","Rest of the Records","2020-12-03","1.5m - 2m",1801001
"Coatings & Inks","Rest of the Records","2019-03-29","4.5m - 5m",4608000
"Paper & Packaging","Rest of the Records","2020-06-13","3.5m - 4m",3799001
"Specialty Materials","Rest of the Records","2018-10-13","4.5m - 5m",4550000
"Textiles","Rest of the Records","2019-09-14","4m - 4.5m",4151001
"Coatings & Inks","Rest of the Records","2018-09-10","3m - 3.5m",3417001
"Textiles","Rest of the Records","2021-04-23","4.5m - 5m",4571000
"Specialty Materials","Current Month","2021-09-08","2.5m - 3m",2971001
"Paper & Packaging","Two Months Ago","2021-07-27","2m - 2.5m",2469001
"Paper & Packaging","Four Months Ago","2021-05-11","1.5m - 2m",1955001
"Textiles","Three Months Ago","2021-06-25","3.5m - 4m",3856001
"Specialty Materials","One Month Ago","2021-08-05","3m - 3.5m",3219001
"Coatings & Inks","Rest of the Records","2020-10-16","2m - 2.5m",2113001
"Textiles","Rest of the Records","2020-12-04","1m - 1.5m",1484000
"Paper & Packaging","Rest of the Records","2019-03-12","4m - 4.5m",4237001
"Specialty Materials","Rest of the Records","2020-06-08","2.5m - 3m",2703001
"Coatings & Inks","Rest of the Records","2018-08-06","1m - 1.5m",1262000
"Paper & Packaging","Rest of the Records","2020-04-12","1m - 1.5m",1273000
"Coatings & Inks","Rest of the Records","2020-08-31","3.5m - 4m",3807001
"Specialty Materials","Rest of the Records","2020-10-07","2m - 2.5m",2046001
"Textiles","Rest of the Records","2017-10-25","3.5m - 4m",3696001
"Textiles","Rest of the Records","2020-02-01","1.5m - 2m",1945001
"Specialty Materials","Rest of the Records","2020-05-02","4.5m - 5m",4888000
"Coatings & Inks","Rest of the Records","2019-12-15","2.5m - 3m",2541001
"Paper & Packaging","Rest of the Records","2020-10-29","3m - 3.5m",3215001
"Coatings & Inks","Rest of the Records","2017-09-22","3m - 3.5m",3137001
"Specialty Materials","Rest of the Records","2019-05-04","3.5m - 4m",3583001
"Paper & Packaging","Rest of the Records","2020-07-12","1m - 1.5m",1164000
"Textiles","Rest of the Records","2019-02-21","3m - 3.5m",3236001
"Paper & Packaging","Rest of the Records","2017-07-28","4m - 4.5m",4412001
"Textiles","Rest of the Records","2019-08-12","2m - 2.5m",2009001
"Coatings & Inks","Rest of the Records","2018-04-12","1.5m - 2m",1908001
"Specialty Materials","Rest of the Records","2018-03-04","1.5m - 2m",1715001
"Coatings & Inks","Rest of the Records","2020-01-29","4m - 4.5m",4497001
"Paper & Packaging","Rest of the Records","2018-08-19","4.5m - 5m",4724000
"Textiles","Rest of the Records","2020-05-22","3.5m - 4m",3785001
"Specialty Materials","Rest of the Records","2021-01-27","3m - 3.5m",3438001
"Coatings & Inks","Rest of the Records","2017-08-22","2m - 2.5m",2059001
"Specialty Materials","Rest of the Records","2018-10-28","4m - 4.5m",4257001
"Paper & Packaging","Rest of the Records","2017-06-01","4.5m - 5m",4574000
"Textiles","Rest of the Records","2021-02-03","2.5m - 3m",2549001
"Specialty Materials","Rest of the Records","2018-06-01","1m - 1.5m",1363000
"Textiles","Rest of the Records","2018-08-07","3.5m - 4m",3720001
"Paper & Packaging","Rest of the Records","2019-04-30","2m - 2.5m",2371001
"Coatings & Inks","Rest of the Records","2020-05-19","1m - 1.5m",1480000
"Textiles","Rest of the Records","2019-05-10","3m - 3.5m",3211001
"Specialty Materials","Rest of the Records","2020-10-09","1.5m - 2m",1622001
"Paper & Packaging","Rest of the Records","2017-07-19","2.5m - 3m",2670001
"Coatings & Inks","Rest of the Records","2020-07-19","3m - 3.5m",3415001
"Specialty Materials","Rest of the Records","2019-07-27","2m - 2.5m",2067001
"Paper & Packaging","Rest of the Records","2018-02-02","4m - 4.5m",4050001
"Textiles","Rest of the Records","2019-11-26","1m - 1.5m",1128000
"Coatings & Inks","Rest of the Records","2019-12-31","2m - 2.5m",2006001
"Textiles","Rest of the Records","2020-06-16","4.5m - 5m",4592000
"Paper & Packaging","Rest of the Records","2018-03-03","2.5m - 3m",2966001
"Specialty Materials","Rest of the Records","2021-03-26","1.5m - 2m",1867001
"Coatings & Inks","Rest of the Records","2021-02-21","2.5m - 3m",2840001
"Textiles","Rest of the Records","2020-12-18","3.5m - 4m",3574001
"Paper & Packaging","Rest of the Records","2018-01-27","4m - 4.5m",4374001
"Coatings & Inks","Rest of the Records","2021-02-25","4.5m - 5m",4993000
"Specialty Materials","Rest of the Records","2020-09-17","3.5m - 4m",3990001
"Specialty Materials","Rest of the Records","2020-03-14","3m - 3.5m",3336001
"Textiles","Rest of the Records","2019-04-28","4.5m - 5m",4826000
"Paper & Packaging","Rest of the Records","2017-07-25","1m - 1.5m",1443000
"Coatings & Inks","Rest of the Records","2018-05-05","1.5m - 2m",1984001
"Paper & Packaging","Rest of the Records","2020-08-06","2.5m - 3m",2910001
"Coatings & Inks","Two Months Ago","2021-07-03","2m - 2.5m",2001001
"Textiles","One Month Ago","2021-08-16","2m - 2.5m",2184001
"Specialty Materials","Rest of the Records","2018-10-14","3m - 3.5m",3463001
"Coatings & Inks","Four Months Ago","2021-05-12","3m - 3.5m",3343001
"Paper & Packaging","Current Month","2021-09-04","4m - 4.5m",4334001
"Textiles","Rest of the Records","2018-01-21","1.5m - 2m",1962001
"Specialty Materials","Three Months Ago","2021-06-15","2m - 2.5m",2339001
"Specialty Materials","Rest of the Records","2019-03-21","3m - 3.5m",3136001
"Coatings & Inks","Rest of the Records","2017-08-23","3m - 3.5m",3361001
"Textiles","Rest of the Records","2020-01-05","3.5m - 4m",3579001
"Paper & Packaging","Rest of the Records","2018-05-30","3.5m - 4m",3811001
"Coatings & Inks","Rest of the Records","2019-09-19","4m - 4.5m",4008001
"Paper & Packaging","Rest of the Records","2018-02-26","1.5m - 2m",1553001
"Textiles","Rest of the Records","2018-10-31","1m - 1.5m",1254000
"Specialty Materials","Rest of the Records","2020-01-22","4m - 4.5m",4258001
"Coatings & Inks","Rest of the Records","2020-03-18","1m - 1.5m",1373000
"Specialty Materials","Rest of the Records","2017-05-24","4.5m - 5m",4994000
"Textiles","Rest of the Records","2020-10-08","2.5m - 3m",2569001
"Paper & Packaging","Rest of the Records","2018-04-01","3m - 3.5m",3091001
"Coatings & Inks","Rest of the Records","2017-12-12","4.5m - 5m",4736000
"Specialty Materials","Rest of the Records","2019-12-13","4.5m - 5m",4630000
"Paper & Packaging","Rest of the Records","2017-05-13","1m - 1.5m",1321000
"Textiles","Rest of the Records","2020-05-28","1.5m - 2m",1960001
"Coatings & Inks","Rest of the Records","2017-07-09","3m - 3.5m",3091001
"Paper & Packaging","Rest of the Records","2021-03-24","2m - 2.5m",2391001
"Textiles","Rest of the Records","2018-02-23","2.5m - 3m",2735001
"Specialty Materials","Rest of the Records","2021-02-03","3m - 3.5m",3074001
"Specialty Materials","Rest of the Records","2020-06-25","1m - 1.5m",1057000
"Paper & Packaging","Rest of the Records","2020-09-06","2m - 2.5m",2392001
"Textiles","Rest of the Records","2018-03-19","3.5m - 4m",3801001
"Coatings & Inks","Rest of the Records","2021-04-18","2.5m - 3m",2983001
"Textiles","Rest of the Records","2019-07-03","3.5m - 4m",3680001
"Coatings & Inks","Rest of the Records","2017-06-25","2m - 2.5m",2137001
"Paper & Packaging","Rest of the Records","2020-01-05","4m - 4.5m",4027001
"Specialty Materials","Rest of the Records","2019-01-08","4.5m - 5m",4698000
"Paper & Packaging","Rest of the Records","2021-02-18","1.5m - 2m",1762001
"Specialty Materials","Rest of the Records","2018-07-19","3m - 3.5m",3252001
"Coatings & Inks","Rest of the Records","2018-02-19","1.5m - 2m",1654001
"Textiles","Rest of the Records","2017-11-22","1m - 1.5m",1093000
"Specialty Materials","Rest of the Records","2021-01-21","2.5m - 3m",2817001
"Textiles","Rest of the Records","2019-08-22","4.5m - 5m",4760000
"Coatings & Inks","Rest of the Records","2018-10-28","4m - 4.5m",4465001
"Paper & Packaging","Rest of the Records","2018-01-10","3.5m - 4m",3886001
"Textiles","Rest of the Records","2019-03-26","4m - 4.5m",4419001
"Coatings & Inks","Rest of the Records","2020-10-19","3m - 3.5m",3234001
