"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Q3","Commodity","2021-07-08","4m - 4.5m",4002001
"Rest of years","Innovator","2019-05-24","3m - 3.5m",3398000
"Q2","Distribution","2021-06-11","3m - 3.5m",3288000
"Q3","Follower","2021-08-16","4.5m - 5m",4514001
"Q2","Commodity","2021-04-28","4m - 4.5m",4246001
"Rest of years","Innovator","2017-01-30","3.5m - 4m",3898001
"Q3","Follower","2021-09-28","3m - 3.5m",3307000
"Q2","Commodity","2021-04-20","4m - 4.5m",4319001
"Previous Year","Innovator","2020-04-28","4m - 4.5m",4142001
"Rest of years","Distribution","2017-03-14","4m - 4.5m",4149001
"Q2","Commodity","2021-05-16","3.5m - 4m",3952001
"Q3","Innovator","2021-09-28","3.5m - 4m",3650001
"Q1","Distribution","2021-03-20","4m - 4.5m",4486001
"Q2","Follower","2021-06-01","3m - 3.5m",3015000
"Rest of years","Follower","2018-11-22","4m - 4.5m",4080001
"Q3","Commodity","2021-07-26","3m - 3.5m",3267000
"Rest of years","Innovator","2019-02-12","3.5m - 4m",3943001
"Q2","Distribution","2021-05-12","3m - 3.5m",3079000
"Q3","Distribution","2021-09-30","4m - 4.5m",4235001
"Q3","Innovator","2021-08-28","3.5m - 4m",3672001
"Previous Year","Commodity","2020-12-31","3m - 3.5m",3455000
"Q1","Follower","2021-02-13","4m - 4.5m",4381001
"Q2","Innovator","2021-05-26","3m - 3.5m",3315000
"Q2","Distribution","2021-04-24","3.5m - 4m",3721001
"Q3","Follower","2021-07-15","4.5m - 5m",4709001
"Rest of years","Commodity","2019-05-31","4m - 4.5m",4369001
"Rest of years","Commodity","2019-07-30","4m - 4.5m",4394001
"Q2","Follower","2021-06-21","3m - 3.5m",3455000
"Rest of years","Innovator","2018-12-14","4m - 4.5m",4418001
"Q3","Distribution","2021-07-18","3m - 3.5m",3104000
"Rest of years","Commodity","2018-07-31","4m - 4.5m",4384001
"Q3","Innovator","2021-07-03","3.5m - 4m",3692001
"Previous Year","Distribution","2020-07-08","3m - 3.5m",3197000
"Q2","Follower","2021-05-23","3m - 3.5m",3260000
"Q1","Commodity","2021-03-24","4m - 4.5m",4247001
"Q2","Follower","2021-06-17","4m - 4.5m",4192001
"Q3","Distribution","2021-09-30","3m - 3.5m",3162000
"Rest of years","Innovator","2017-03-22","4m - 4.5m",4400001
"Q3","Commodity","2021-07-22","4m - 4.5m",4401001
"Q2","Distribution","2021-06-17","3.5m - 4m",3665001
"Rest of years","Follower","2018-10-27","3m - 3.5m",3403000
"Previous Year","Innovator","2020-04-19","4m - 4.5m",4263001
"Rest of years","Follower","2018-11-09","3m - 3.5m",3168000
"Q1","Distribution","2021-01-06","4m - 4.5m",4152001
"Q3","Innovator","2021-08-09","3.5m - 4m",3601001
"Rest of years","Commodity","2018-06-16","4.5m - 5m",4513001
"Q2","Commodity","2021-04-03","3m - 3.5m",3409000
"Q2","Follower","2021-04-08","4m - 4.5m",4096001
"Q3","Distribution","2021-09-26","4m - 4.5m",4472001
"Q2","Innovator","2021-05-17","3m - 3.5m",3296000
"Rest of years","Follower","2017-10-13","3m - 3.5m",3038000
"Q3","Commodity","2021-09-26","4m - 4.5m",4018001
"Q2","Innovator","2021-05-22","3m - 3.5m",3203000
"Rest of years","Distribution","2018-10-22","4m - 4.5m",4397001
"Q1","Commodity","2021-01-12","3m - 3.5m",3414000
"Q3","Innovator","2021-07-12","3.5m - 4m",3718001
"Q2","Follower","2021-05-04","3m - 3.5m",3342000
"Previous Year","Distribution","2020-04-24","3.5m - 4m",3947001
"Rest of years","Commodity","2018-08-19","4m - 4.5m",4292001
"Q3","Follower","2021-08-07","4m - 4.5m",4318001
"Rest of years","Innovator","2019-03-17","3m - 3.5m",3197000
"Q2","Distribution","2021-06-14","4.5m - 5m",4992001
"Q3","Commodity","2021-07-29","3m - 3.5m",3162000
"Q2","Distribution","2021-04-16","3m - 3.5m",3255000
"Rest of years","Innovator","2018-07-19","4m - 4.5m",4299001
"Q3","Follower","2021-08-19","4m - 4.5m",4219001
"Q1","Distribution","2021-03-14","3m - 3.5m",3174000
"Q3","Innovator","2021-08-08","3.5m - 4m",3631001
"Previous Year","Commodity","2020-12-10","4m - 4.5m",4137001
"Q2","Follower","2021-06-21","3m - 3.5m",3018000
"Rest of years","Follower","2019-10-06","4m - 4.5m",4494001
"Q2","Commodity","2021-05-24","3.5m - 4m",3796001
"Rest of years","Innovator","2019-01-28","3m - 3.5m",3396000
"Q3","Distribution","2021-08-16","4m - 4.5m",4033001
"Q1","Innovator","2021-02-24","3.5m - 4m",3928001
"Q2","Follower","2021-04-14","4m - 4.5m",4048001
"Previous Year","Distribution","2020-01-07","3m - 3.5m",3265000
"Q3","Commodity","2021-07-11","4m - 4.5m",4134001
"Rest of years","Distribution","2017-03-27","4.5m - 5m",4930001
"Rest of years","Follower","2017-06-28","3m - 3.5m",3116000
"Q2","Innovator","2021-05-15","3m - 3.5m",3005000
"Q3","Commodity","2021-09-25","3m - 3.5m",3341000
"Rest of years","Commodity","2017-01-24","4m - 4.5m",4018001
"Q3","Follower","2021-07-17","4m - 4.5m",4420001
"Q2","Innovator","2021-05-07","3m - 3.5m",3028000
"Q3","Distribution","2021-07-26","3m - 3.5m",3299000
"Previous Year","Distribution","2020-09-06","3m - 3.5m",3475000
"Q2","Innovator","2021-04-04","3m - 3.5m",3365000
"Rest of years","Commodity","2017-11-03","4m - 4.5m",4149001
"Q3","Follower","2021-09-13","3m - 3.5m",3045000
"Rest of years","Innovator","2019-03-19","4m - 4.5m",4159001
"Q1","Commodity","2021-02-12","4m - 4.5m",4481001
"Q2","Follower","2021-06-22","3.5m - 4m",3543001
"Q2","Distribution","2021-06-20","4m - 4.5m",4120001
"Q3","Follower","2021-07-21","3m - 3.5m",3401000
"Rest of years","Commodity","2017-07-09","3m - 3.5m",3371000
"Q1","Innovator","2021-03-01","3m - 3.5m",3378000
"Rest of years","Distribution","2017-02-17","4.5m - 5m",4743001
"Q3","Commodity","2021-08-11","4m - 4.5m",4237001
"Previous Year","Follower","2020-01-29","4m - 4.5m",4097001
"Rest of years","Innovator","2019-11-02","3.5m - 4m",3661001
"Q3","Distribution","2021-09-17","4m - 4.5m",4281001
"Q2","Commodity","2021-06-08","3m - 3.5m",3048000
"Q2","Innovator","2021-06-10","3m - 3.5m",3128000
"Rest of years","Follower","2017-08-28","3m - 3.5m",3199000
"Q3","Distribution","2021-07-30","3.5m - 4m",3985001
"Q2","Follower","2021-04-27","3m - 3.5m",3277000
"Previous Year","Distribution","2020-04-14","4m - 4.5m",4023001
"Rest of years","Commodity","2017-10-29","3m - 3.5m",3095000
"Q2","Innovator","2021-05-13","3m - 3.5m",3276000
"Q1","Distribution","2021-02-15","4m - 4.5m",4108001
"Q2","Follower","2021-04-25","4m - 4.5m",4440001
"Q3","Commodity","2021-07-12","4m - 4.5m",4247001
"Rest of years","Innovator","2017-07-13","3m - 3.5m",3383000
"Q3","Innovator","2021-09-07","3.5m - 4m",3880001
"Q2","Follower","2021-06-27","3m - 3.5m",3376000
"Q3","Commodity","2021-07-06","4.5m - 5m",4561001
"Rest of years","Distribution","2017-04-19","4m - 4.5m",4038001
"Previous Year","Commodity","2020-11-05","3m - 3.5m",3061000
"Q1","Innovator","2021-01-07","4m - 4.5m",4102001
"Rest of years","Follower","2017-02-25","3.5m - 4m",3787001
"Q2","Distribution","2021-06-13","3m - 3.5m",3391000
"Rest of years","Innovator","2018-04-24","4m - 4.5m",4309001
"Q2","Follower","2021-04-17","4m - 4.5m",4174001
"Q3","Distribution","2021-09-07","4m - 4.5m",4364001
"Q3","Commodity","2021-09-29","3m - 3.5m",3147000
"Q2","Distribution","2021-05-12","4m - 4.5m",4099001
"Rest of years","Commodity","2019-03-20","3m - 3.5m",3038000
"Q3","Innovator","2021-08-10","3.5m - 4m",3715001
"Q1","Follower","2021-02-10","3m - 3.5m",3292000
"Q2","Distribution","2021-06-13","4m - 4.5m",4481001
"Rest of years","Follower","2017-11-14","4m - 4.5m",4320001
"Q3","Innovator","2021-08-24","3.5m - 4m",3946001
"Q2","Commodity","2021-04-07","3m - 3.5m",3180000
"Rest of years","Follower","2017-03-25","4m - 4.5m",4055001
"Q3","Distribution","2021-09-29","3m - 3.5m",3347000
"Previous Year","Innovator","2020-03-04","4m - 4.5m",4349001
"Q3","Commodity","2021-07-20","4m - 4.5m",4216001
"Q2","Commodity","2021-05-07","3.5m - 4m",3585001
"Rest of years","Follower","2018-07-19","4.5m - 5m",4771001
"Q1","Distribution","2021-01-01","3m - 3.5m",3329000
"Previous Year","Innovator","2020-05-27","4m - 4.5m",4201001
"Rest of years","Innovator","2019-07-06","4m - 4.5m",4494001
"Q2","Distribution","2021-05-29","3m - 3.5m",3422000
"Q2","Follower","2021-06-10","4m - 4.5m",4259001
"Q3","Commodity","2021-09-08","4m - 4.5m",4453001
"Q3","Innovator","2021-09-14","3.5m - 4m",3577001
"Rest of years","Commodity","2019-01-16","4m - 4.5m",4357001
"Q2","Follower","2021-06-02","3m - 3.5m",3411000
"Rest of years","Distribution","2019-12-06","3m - 3.5m",3209000
"Q3","Commodity","2021-09-25","4m - 4.5m",4069001
"Q2","Follower","2021-04-21","3m - 3.5m",3049000
"Q3","Innovator","2021-08-10","3.5m - 4m",3960001
"Q1","Distribution","2021-02-02","4m - 4.5m",4061001
"Rest of years","Commodity","2017-07-25","4.5m - 5m",4757001
"Previous Year","Distribution","2020-11-14","3.5m - 4m",3553001
"Q3","Follower","2021-08-12","4m - 4.5m",4287001
"Rest of years","Innovator","2019-04-16","3.5m - 4m",3799001
"Q2","Commodity","2021-05-09","3m - 3.5m",3311000
"Q3","Distribution","2021-07-11","3m - 3.5m",3230000
"Q2","Innovator","2021-05-19","3m - 3.5m",3294000
"Rest of years","Follower","2019-05-09","4m - 4.5m",4010001
"Rest of years","Innovator","2017-06-10","3m - 3.5m",3198000
"Q1","Commodity","2021-02-18","3m - 3.5m",3052000
"Previous Year","Distribution","2020-04-08","4m - 4.5m",4056001
"Q2","Follower","2021-05-29","3m - 3.5m",3296000
"Q3","Distribution","2021-09-24","4m - 4.5m",4159001
"Rest of years","Commodity","2019-05-18","4m - 4.5m",4449001
"Q2","Innovator","2021-05-17","3m - 3.5m",3203000
"Q3","Follower","2021-09-21","3.5m - 4m",3834001
"Q2","Follower","2021-06-11","4m - 4.5m",4460001
"Rest of years","Innovator","2018-11-23","4m - 4.5m",4481001
"Q3","Commodity","2021-08-26","3m - 3.5m",3233000
"Rest of years","Distribution","2018-11-03","4.5m - 5m",4577001
"Q1","Distribution","2021-03-06","4m - 4.5m",4294001
"Q2","Innovator","2021-05-02","3m - 3.5m",3432000
"Previous Year","Follower","2020-08-19","3m - 3.5m",3342000
"Q3","Commodity","2021-08-06","4m - 4.5m",4089001
"Q2","Commodity","2021-06-12","3m - 3.5m",3273000
"Q3","Innovator","2021-07-06","3.5m - 4m",3690001
"Rest of years","Distribution","2018-11-17","3m - 3.5m",3323000
"Rest of years","Follower","2019-10-17","4m - 4.5m",4247001
"Q2","Innovator","2021-04-14","3m - 3.5m",3259000
"Q3","Follower","2021-07-04","4m - 4.5m",4085001
"Rest of years","Distribution","2018-07-18","3m - 3.5m",3350000
"Previous Year","Commodity","2020-12-07","4m - 4.5m",4357001
"Q2","Distribution","2021-06-11","3.5m - 4m",3912001
"Q1","Commodity","2021-02-27","4m - 4.5m",4026001
"Q2","Follower","2021-05-01","4.5m - 5m",4503001
"Rest of years","Innovator","2019-03-26","3.5m - 4m",3740001
"Q3","Distribution","2021-08-22","3m - 3.5m",3373000
"Q3","Commodity","2021-09-15","4m - 4.5m",4130001
"Q2","Follower","2021-04-17","3m - 3.5m",3434000
"Rest of years","Innovator","2017-12-31","4m - 4.5m",4380001
"Q3","Commodity","2021-09-30","4m - 4.5m",4107001
"Rest of years","Follower","2019-12-01","3m - 3.5m",3314000
"Previous Year","Distribution","2020-03-07","4m - 4.5m",4099001
"Q2","Innovator","2021-06-01","3m - 3.5m",3077000
"Q3","Follower","2021-07-21","3m - 3.5m",3180000
"Q1","Commodity","2021-01-11","4m - 4.5m",4365001
"Rest of years","Distribution","2017-07-29","3m - 3.5m",3228000
"Q2","Innovator","2021-05-20","3m - 3.5m",3221000
"Q3","Distribution","2021-09-08","3.5m - 4m",3956001
"Rest of years","Commodity","2017-06-30","3m - 3.5m",3330000
"Q2","Innovator","2021-05-12","3m - 3.5m",3456000
"Q3","Follower","2021-09-22","3m - 3.5m",3455000
"Q3","Commodity","2021-07-03","4m - 4.5m",4254001
"Q1","Follower","2021-03-25","4m - 4.5m",4494001
"Rest of years","Distribution","2018-07-19","4m - 4.5m",4090001
"Q2","Innovator","2021-05-01","3m - 3.5m",3315000
"Rest of years","Commodity","2017-11-15","3m - 3.5m",3474000
"Previous Year","Innovator","2020-04-30","4m - 4.5m",4370001
"Q3","Follower","2021-09-06","3m - 3.5m",3281000
"Q2","Distribution","2021-04-08","4.5m - 5m",4819001
"Q2","Distribution","2021-05-06","4m - 4.5m",4349001
"Rest of years","Follower","2018-02-10","4m - 4.5m",4194001
"Q3","Commodity","2021-07-01","3.5m - 4m",3921001
"Q2","Innovator","2021-05-02","3m - 3.5m",3098000
"Previous Year","Follower","2020-03-05","3m - 3.5m",3328000
"Q1","Innovator","2021-01-14","4m - 4.5m",4375001
"Q3","Distribution","2021-09-22","3m - 3.5m",3367000
"Q3","Commodity","2021-08-21","4m - 4.5m",4367001
"Rest of years","Innovator","2017-09-09","4.5m - 5m",4735001
"Rest of years","Follower","2018-05-07","3m - 3.5m",3097000
"Q2","Distribution","2021-06-20","4m - 4.5m",4385001
"Q3","Commodity","2021-09-11","4m - 4.5m",4293001
"Q2","Follower","2021-05-28","3m - 3.5m",3182000
"Rest of years","Commodity","2017-06-28","4.5m - 5m",4860001
"Rest of years","Distribution","2017-04-27","3m - 3.5m",3038000
"Previous Year","Innovator","2020-11-25","4m - 4.5m",4362001
"Q1","Distribution","2021-01-17","4m - 4.5m",4376001
"Q3","Commodity","2021-07-11","4m - 4.5m",4345001
"Rest of years","Innovator","2019-03-16","3m - 3.5m",3017000
"Q2","Follower","2021-05-29","3m - 3.5m",3096000
"Q3","Innovator","2021-07-07","3.5m - 4m",3999001
"Q2","Follower","2021-06-07","3.5m - 4m",3758001
"Rest of years","Commodity","2017-04-23","3m - 3.5m",3002000
"Q2","Distribution","2021-06-30","4m - 4.5m",4418001
"Q3","Innovator","2021-07-24","3.5m - 4m",3991001
"Q1","Follower","2021-03-20","4m - 4.5m",4221001
"Q2","Distribution","2021-06-24","3m - 3.5m",3231000
"Q3","Commodity","2021-08-18","4m - 4.5m",4387001
"Previous Year","Commodity","2020-05-30","4m - 4.5m",4202001
"Q3","Follower","2021-09-21","3m - 3.5m",3035000
"Q2","Innovator","2021-06-09","3m - 3.5m",3030000
"Rest of years","Distribution","2018-01-16","3m - 3.5m",3068000
"Rest of years","Follower","2017-04-13","4m - 4.5m",4093001
"Rest of years","Innovator","2017-06-07","4m - 4.5m",4021001
"Q3","Distribution","2021-09-27","4m - 4.5m",4128001
"Q2","Commodity","2021-05-13","3m - 3.5m",3432000
"Q3","Commodity","2021-07-11","3.5m - 4m",3512001
"Rest of years","Follower","2018-10-04","3m - 3.5m",3387000
"Q1","Distribution","2021-03-28","4m - 4.5m",4474001
"Q2","Innovator","2021-06-07","3m - 3.5m",3189000
"Previous Year","Commodity","2020-02-13","4.5m - 5m",4849001
"Q2","Distribution","2021-05-09","3m - 3.5m",3352000
"Rest of years","Innovator","2017-04-09","3.5m - 4m",3826001
"Q3","Follower","2021-08-17","4m - 4.5m",4332001
"Q2","Distribution","2021-06-09","4m - 4.5m",4183001
"Q3","Commodity","2021-08-06","3m - 3.5m",3480000
"Rest of years","Innovator","2017-05-21","3m - 3.5m",3109000
"Q1","Follower","2021-03-09","4m - 4.5m",4009001
"Q2","Follower","2021-05-15","3m - 3.5m",3296000
"Rest of years","Commodity","2017-08-14","4.5m - 5m",4786001
"Previous Year","Innovator","2020-10-31","4m - 4.5m",4352001
"Rest of years","Distribution","2017-10-09","3m - 3.5m",3350000
"Q2","Follower","2021-06-15","4m - 4.5m",4345001
"Q3","Innovator","2021-08-10","3.5m - 4m",3540001
"Q3","Commodity","2021-08-21","4m - 4.5m",4042001
"Q3","Distribution","2021-07-13","3.5m - 4m",3749001
"Q2","Distribution","2021-04-06","4m - 4.5m",4310001
"Rest of years","Innovator","2018-07-08","4m - 4.5m",4299001
"Rest of years","Commodity","2017-09-20","4m - 4.5m",4323001
"Q2","Follower","2021-06-24","3m - 3.5m",3445000
"Q3","Follower","2021-09-17","3m - 3.5m",3436000
"Q1","Innovator","2021-02-13","3.5m - 4m",3706001
"Rest of years","Distribution","2019-04-02","4m - 4.5m",4197001
"Q2","Commodity","2021-06-20","3m - 3.5m",3021000
"Previous Year","Commodity","2020-01-15","3m - 3.5m",3033000
"Q3","Distribution","2021-07-30","4m - 4.5m",4027001
"Q3","Innovator","2021-08-03","3.5m - 4m",3881001
"Q2","Follower","2021-06-10","4m - 4.5m",4156001
"Rest of years","Commodity","2019-02-18","3m - 3.5m",3308000
"Rest of years","Distribution","2018-07-09","4.5m - 5m",4690001
"Q3","Innovator","2021-09-30","3.5m - 4m",3975001
"Previous Year","Follower","2020-12-11","3m - 3.5m",3134000
"Q2","Distribution","2021-04-06","3.5m - 4m",3511001
"Q2","Commodity","2021-06-10","4m - 4.5m",4484001
"Rest of years","Innovator","2017-12-07","4m - 4.5m",4075001
"Q3","Follower","2021-09-13","4m - 4.5m",4496001
"Q1","Innovator","2021-03-20","4m - 4.5m",4493001
"Rest of years","Commodity","2018-05-30","4m - 4.5m",4253001
"Q3","Distribution","2021-09-07","3m - 3.5m",3277000
"Q2","Follower","2021-04-11","3m - 3.5m",3492000
"Q2","Commodity","2021-04-22","4m - 4.5m",4221001
"Q1","Follower","2021-03-23","3m - 3.5m",3208000
"Previous Year","Innovator","2020-01-07","4m - 4.5m",4493001
"Q3","Distribution","2021-07-04","4m - 4.5m",4015001
"Rest of years","Innovator","2018-04-18","3m - 3.5m",3084000
"Q2","Follower","2021-05-10","4m - 4.5m",4443001
"Rest of years","Commodity","2017-03-22","3m - 3.5m",3087000
"Q3","Distribution","2021-08-21","4.5m - 5m",4506001
"Rest of years","Distribution","2017-08-03","3.5m - 4m",3914001
"Q3","Commodity","2021-07-14","4m - 4.5m",4402001
"Q2","Follower","2021-05-29","4m - 4.5m",4224001
"Previous Year","Innovator","2020-04-09","4m - 4.5m",4128001
"Q1","Distribution","2021-02-09","3m - 3.5m",3335000
"Q2","Follower","2021-05-03","3m - 3.5m",3282000
"Q3","Commodity","2021-08-13","3m - 3.5m",3483000
"Q3","Innovator","2021-09-21","3.5m - 4m",3630001
"Q2","Follower","2021-06-08","4m - 4.5m",4127001
"Rest of years","Commodity","2019-04-17","4m - 4.5m",4377001
"Rest of years","Innovator","2017-09-15","4m - 4.5m",4348001
"Q2","Distribution","2021-05-26","3m - 3.5m",3061000
"Rest of years","Innovator","2017-11-30","3m - 3.5m",3307000
"Q3","Distribution","2021-08-09","4m - 4.5m",4481001
"Rest of years","Follower","2018-07-02","3.5m - 4m",3805001
"Q3","Commodity","2021-08-06","4m - 4.5m",4306001
"Previous Year","Innovator","2020-03-09","4m - 4.5m",4187001
"Q2","Commodity","2021-05-18","3m - 3.5m",3075000
"Rest of years","Follower","2017-10-22","4m - 4.5m",4155001
"Q2","Distribution","2021-05-02","4.5m - 5m",4807001
"Q1","Innovator","2021-01-20","3m - 3.5m",3249000
"Q3","Follower","2021-09-20","3m - 3.5m",3136000
"Q3","Commodity","2021-08-06","4m - 4.5m",4456001
"Q2","Distribution","2021-04-19","3m - 3.5m",3075000
"Rest of years","Innovator","2019-04-12","3.5m - 4m",3757001
"Q1","Commodity","2021-01-07","4m - 4.5m",4486001
"Rest of years","Follower","2017-09-09","3m - 3.5m",3364000
"Q2","Distribution","2021-04-03","3m - 3.5m",3027000
"Previous Year","Distribution","2020-02-18","4m - 4.5m",4155001
"Q2","Innovator","2021-06-19","3m - 3.5m",3280000
"Q3","Commodity","2021-07-18","3m - 3.5m",3187000
"Rest of years","Follower","2019-12-02","4m - 4.5m",4495001
"Q3","Distribution","2021-07-20","3.5m - 4m",3634001
"Q2","Follower","2021-04-01","4m - 4.5m",4121001
"Rest of years","Innovator","2019-03-30","4m - 4.5m",4008001
"Q3","Commodity","2021-09-08","3m - 3.5m",3006000
"Previous Year","Innovator","2020-05-07","4m - 4.5m",4166001
"Q1","Commodity","2021-01-17","3m - 3.5m",3464000
"Q2","Follower","2021-05-28","4.5m - 5m",4819001
"Rest of years","Distribution","2017-09-19","4m - 4.5m",4224001
"Q2","Commodity","2021-05-16","4m - 4.5m",4199001
"Rest of years","Innovator","2018-07-26","4m - 4.5m",4470001
"Q3","Follower","2021-09-22","3m - 3.5m",3135000
"Q3","Distribution","2021-07-17","4m - 4.5m",4271001
"Q3","Commodity","2021-09-29","3m - 3.5m",3363000
"Rest of years","Distribution","2018-06-23","3.5m - 4m",3845001
"Q2","Innovator","2021-04-04","3m - 3.5m",3408000
"Previous Year","Follower","2020-04-27","3m - 3.5m",3223000
"Rest of years","Distribution","2019-04-21","4m - 4.5m",4074001
"Q1","Commodity","2021-02-18","4m - 4.5m",4409001
"Q3","Innovator","2021-07-17","3.5m - 4m",3882001
"Q3","Follower","2021-07-23","4m - 4.5m",4418001
"Rest of years","Commodity","2017-07-16","3m - 3.5m",3196000
"Q2","Innovator","2021-05-27","3m - 3.5m",3139000
"Q2","Follower","2021-05-11","4m - 4.5m",4108001
"Q2","Distribution","2021-05-30","4.5m - 5m",4584001
"Rest of years","Distribution","2019-12-29","3m - 3.5m",3354000
"Q3","Commodity","2021-09-19","4m - 4.5m",4436001
"Q3","Innovator","2021-07-31","3.5m - 4m",3692001
"Rest of years","Follower","2017-01-27","3m - 3.5m",3455000
"Q2","Distribution","2021-06-11","3m - 3.5m",3467000
"Previous Year","Follower","2020-10-25","3.5m - 4m",3977001
"Q1","Innovator","2021-01-13","4m - 4.5m",4057001
"Q3","Commodity","2021-09-09","4m - 4.5m",4067001
"Q2","Distribution","2021-05-18","3m - 3.5m",3498000
"Rest of years","Commodity","2017-09-06","4m - 4.5m",4331001
